case_id,category,common_validation_errors,created_at,difficulty,discovered_joins,evaluation_policy_violations,execution_result_hash,failure_category,failure_reason,generated_sql,gold,latency_ms,ontology_policy_errors,predicted_status,question,raw_model_output,referenced_columns,referenced_tables,retrieved_columns,retrieved_context,retrieved_tables,run_id,selected_sql_asset_id,selected_template_rank,semantic_output,sql_asset_candidates,sql_rewrite,status,success,template_adopted,template_compatible,template_rejection_reasons,token_usage
basic-01,基础指标,[],2026-07-23T12:11:40.735952Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",9874d819290d9fa4d409a8e16992a70a7016a8c142233ad55618cb3831455b59,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,SELECT txn_amount_cny FROM dwd_card_transaction,"{""sql"": ""SELECT SUM(t.txn_amount_cny) AS transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""30908c6af98d63d34fc8dabd0e99c8441dc8328f7505704da6a9b4959b83b34c"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",962.87,,success,查询交易金额,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2652, ""output_tokens"": 17, ""total_tokens"": 2669}"
basic-02,基础指标,[],2026-07-23T12:11:42.020223Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",cff1441d1554b64fda6fe4e104c6e2c1f3ca473a6711d2dbbe726c81cc7feb4a,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT SUM(txn_amount) AS total_credit_card_amount
FROM dwd_card_transaction
WHERE card_type = 'credit'","{""sql"": ""SELECT SUM(t.txn_amount_cny) AS credit_card_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""credit_card_transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""8fc4c944ae49f0cd8d3ebdc39554733d3bf1bf8c246d8d96c7d509ec2ce4fb65"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1257.97,,success,统计信用卡交易金额,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 31, ""total_tokens"": 2684}"
basic-03,基础指标,[],2026-07-23T12:11:42.996657Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",e55e5800a229f6833f34fff66df8aad5a333a6bda5fc2cdbe8b479dba1382ce6,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT COUNT(*) AS transaction_count
FROM dwd_card_transaction","{""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""metric_ids"": [""transaction_count""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""082a6289bb7a8a437a316537009c7aed92c32a663d5f03915d613181de3dc998"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",967.45,,success,查询交易笔数,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 18, ""total_tokens"": 2671}"
basic-04,基础指标,[],2026-07-23T12:11:44.058640Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",63e3449ae6a79dca7f930c6be151381fbb0a61897a42ca654de8477f4fac7cc2,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT COUNT(*) AS credit_card_transaction_count
FROM dwd_card_transaction
WHERE card_type = '信用卡'","{""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS credit_card_transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""metric_ids"": [""credit_card_transaction_count""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""25cf54dc86c9446c3fb104e24f89d6e52b24e65b5fbf06136ffdf717a6128b67"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1055.17,,success,统计信用卡交易笔数,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2654, ""output_tokens"": 28, ""total_tokens"": 2682}"
basic-05,基础指标,[],2026-07-23T12:11:45.099939Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",ac4215ec04b21477e9c38aaab4de57d9064aba01f23d15da2660cbc357067077,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT AVG(txn_amount_cny) AS avg_transaction_amount
FROM dwd_card_transaction","{""sql"": ""SELECT AVG(t.txn_amount_cny) AS average_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""average_transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""faaa217e573df6437ba76645ca5511062193a4d73ce259fb20b40e805ef88e6d"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1034.8,,success,查询平均交易金额,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 26, ""total_tokens"": 2679}"
basic-06,基础指标,[],2026-07-23T12:11:46.273740Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",172bbf24a5baa51d67384f496dc33ce29f71ed989c01e49e6dd710a1046f135c,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT COUNT(DISTINCT c.customer_id) AS active_customer_count
FROM dim_customer c
WHERE EXISTS (
    SELECT 1
    FROM dwd_card_transaction t
    WHERE t.customer_id = c.customer_id
)","{""sql"": ""SELECT COUNT(DISTINCT t.customer_id) AS active_customer_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.customer_id"", ""dwd_card_transaction.transaction_status""], ""metric_ids"": [""active_customer_count""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""172bbf24a5baa51d67384f496dc33ce29f71ed989c01e49e6dd710a1046f135c"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1167.47,,success,查询活跃客户数,,"[""dim_customer.customer_id"", ""dwd_card_transaction.customer_id""]","[""dim_customer"", ""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 56, ""total_tokens"": 2709}"
basic-07,基础指标,[],2026-07-23T12:11:47.311524Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",307ab5779d11fe17b316880e94bbd2f68782bb6c4e87acc8f15df093604d68a8,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT SUM(txn_amount_cny) AS total_posted_amount
FROM dwd_card_transaction
WHERE transaction_status = 'posted'","{""sql"": ""SELECT SUM(t.txn_amount_cny) AS transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""30908c6af98d63d34fc8dabd0e99c8441dc8328f7505704da6a9b4959b83b34c"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1032.93,,success,统计全部已入账交易额,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2656, ""output_tokens"": 32, ""total_tokens"": 2688}"
basic-08,基础指标,[],2026-07-23T12:11:48.465196Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED"", ""Missing required metric filter: card_type = CREDIT""]",6d81f81020c5f4886660a4cfec829d2ca9c0b3cc90c098064a76099fec03b074,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED; Missing required metric filter: card_type = CREDIT,"SELECT SUM(txn_amount_cny) AS total_credit_card_spending
FROM dwd_card_transaction
WHERE card_type = '贷记卡'","{""sql"": ""SELECT SUM(t.txn_amount_cny) AS credit_card_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED' AND t.card_type = 'CREDIT'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.card_type"", ""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""credit_card_transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""8fc4c944ae49f0cd8d3ebdc39554733d3bf1bf8c246d8d96c7d509ec2ce4fb65"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1136.52,,success,计算贷记卡消费金额,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2654, ""output_tokens"": 35, ""total_tokens"": 2689}"
basic-09,基础指标,[],2026-07-23T12:11:49.677280Z,easy,[],"[""Missing required metric filter: transaction_status = POSTED""]",e55e5800a229f6833f34fff66df8aad5a333a6bda5fc2cdbe8b479dba1382ce6,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT COUNT(*) AS transaction_count
FROM dwd_card_transaction","{""sql"": ""SELECT COUNT(DISTINCT t.transaction_id) AS transaction_count FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.transaction_status""], ""metric_ids"": [""transaction_count""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""082a6289bb7a8a437a316537009c7aed92c32a663d5f03915d613181de3dc998"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1206.72,,success,统计流水笔数,,[],"[""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2653, ""output_tokens"": 18, ""total_tokens"": 2671}"
basic-10,基础指标,[],2026-07-23T12:11:51.056393Z,easy,"[""dwd_card_transaction.customer_id = dim_customer.customer_id""]","[""Missing required metric filter: transaction_status = POSTED""]",3e8b5746261241ae33a62b2950d2c2b5d217f6ec09d0076c5ffc1c709d3f17d2,BUSINESS_POLICY_ERROR,Missing required metric filter: transaction_status = POSTED,"SELECT 
    d.customer_id,
    SUM(t.txn_amount_cny) / COUNT(DISTINCT t.transaction_id) AS avg_revenue_per_customer
FROM dwd_card_transaction t
JOIN dim_customer d ON t.customer_id = d.customer_id
GROUP BY d.customer_id","{""sql"": ""SELECT AVG(t.txn_amount_cny) AS average_transaction_amount FROM dwd_card_transaction t WHERE t.transaction_status = 'POSTED'"", ""joins"": [], ""tables"": [""dwd_card_transaction""], ""columns"": [""dwd_card_transaction.transaction_status"", ""dwd_card_transaction.txn_amount_cny""], ""metric_ids"": [""average_transaction_amount""], ""time_range"": {""kind"": ""none""}, ""result_hash"": ""faaa217e573df6437ba76645ca5511062193a4d73ce259fb20b40e805ef88e6d"", ""dimension_ids"": [], ""expected_status"": ""success"", ""semantic_filters"": []}",1373.86,,success,查询客单价,,"[""dim_customer.customer_id"", ""dwd_card_transaction.customer_id"", ""dwd_card_transaction.transaction_id"", ""dwd_card_transaction.txn_amount_cny""]","[""dim_customer"", ""dwd_card_transaction""]",[],,[],898801a9-686c-494c-a378-80d1d7b59f27,,,,,,COMPLETED,False,,,{},"{""input_tokens"": 2652, ""output_tokens"": 71, ""total_tokens"": 2723}"
